Raison sociale;SIRET;Code NAF;Libellé NAF;Région;Date de labellisation;Date de fin de labellisation;Univers;geolocetablissement
SOC AGRICOLE DE BOLOGNE SA;31308884100017;11.01Z;Production de boissons alcooliques distillées;GUADELOUPE;2024-05-07;2029-05-05;Gastronomie;16.007135, -61.740185
BOUILLOT LANGILLIER;90082435000012;25.50A;"Forge, estampage, matriçage ; métallurgie des poudres";BOURGOGNE-FRANCHE-COMTÉ;2024-06-26;2029-06-24;Architecture et Patrimoine Bâti;46.485502, 4.444266
DUCHERPOZAT;34972900400037;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment;BOURGOGNE-FRANCHE-COMTÉ;2024-06-26;2029-06-24;Architecture et Patrimoine Bâti;47.242817, 4.990343
MANUFACTURE DE POTERIES JARS;43568032700010;23.41Z;Fabrication d'articles céramiques à usage domestique ou ornemental;AUVERGNE-RHÔNE-ALPES;2025-02-07;2030-02-05;Arts de la table;45.270729, 4.863151
FOUILLEUL;55585064300019;22.21Z;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;PAYS-DE-LA-LOIRE;2025-03-06;2030-03-04;Equipements Industriels, Médicaux, Mécaniques;48.062866095326335, -0.7806374480575324
DIGITAL PACKAGING;42311985800029;17.21B;Fabrication de cartonnages;ILE-DE-FRANCE;2025-03-21;2030-03-19;Equipements Industriels, Médicaux, Mécaniques;48.82342929017179, 2.2251046249611632
JOAILLERIE CLAUDE TCHESKISS;31275587900037;47.77Z;Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé;ILE-DE-FRANCE;2025-03-21;2030-03-19;Mode et beauté;48.87322358654111, 2.3457015828040504
PASSEMENTERIE MICHEL SAHUC;44183515400028;13.96Z;Fabrication d'autres textiles techniques et industriels;AUVERGNE-RHÔNE-ALPES;2025-03-27;2030-03-25;Ameublement et Décoration;45.31034005688501, 4.362827724730525
CONFITURERIE ET CONFISERIE D'ANDRESY;61980415600021;10.39B;Transformation et conservation de fruits;ILE-DE-FRANCE;2025-04-15;2030-04-13;Gastronomie;48.99663841303011, 2.0680521540224
BAIE DES CAPS;84974197000016;14.39Z;Fabrication d'autres articles à mailles;BRETAGNE;2025-05-13;2030-05-11;Mode et beauté;48.58182011309884, -2.140427931189188
GUERIN DENIS;33446411200021;95.24Z;Réparation de meubles et d'équipements du foyer;NOUVELLE AQUITAINE;2025-05-26;2030-05-24;Ameublement et Décoration;46.13353740354356, -1.1126836754836418
Gilbon et Coroller;33766678800027;90.03A;Création artistique relevant des arts plastiques (90.03A);ILE-DE-FRANCE;2025-06-03;2030-06-01;Ameublement et Décoration;48.87658250345495, 2.397651553800132
ANJOU SIEGES CREATION;48060088100019;31.09A;Fabrication de sièges d'ameublement d'intérieur;PAYS-DE-LA-LOIRE;2025-06-24;2030-06-22;Ameublement et Décoration;47.753326602696085, -0.48857672948153885
CABOSSE & ASSOCIES;53882576100025;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;ILE-DE-FRANCE;2025-06-26;2030-06-24;Gastronomie;48.826183860030035, 2.2643110402975823
CLEMENT SA;34128748000030;18.14Z;Reliure et activités connexes;GRAND-EST;2025-06-27;2030-06-25;Culture et Communication;48.7141962733658, 6.249267826307288
MINOTERIE SUIRE;30489985900025;10.61A;Meunerie;PAYS-DE-LA-LOIRE;2025-01-30;2030-01-28;Gastronomie;47.03651000034059, -1.1803588255113724
ETS DROUAULT;57565005600014;13.92Z;Fabrication d'articles textiles, sauf habillement;PAYS-DE-LA-LOIRE;2025-01-30;2030-01-28;Ameublement et Décoration;48.00019440870886, 0.17619823988512734
Bonnefoy Créations;32210687300019;14.13Z;Fabrication de vêtements de dessus (14.13Z);AUVERGNE-RHÔNE-ALPES;2019-08-30;2024-08-27;Mode et beauté;45.23862001191911, 4.178184294042957
Cymbeline Forever;80849874500021;14.13Z;Fabrication de vêtements de dessus (14.13Z);ILE-DE-FRANCE;2019-08-30;2024-08-27;Mode et beauté;48.839313068105774, 2.3397515502599915
COMPAGNIE MÉDITERRANÉENNE DES CAFÉS MALONGO;95580206100106;10.83Z;Transformation du thé et du café (10.83Z);PROVENCE-ALPES-COTE D'AZUR;2019-12-23;2024-12-20;Gastronomie;43.787348, 7.210687
ENTREPRISE RICCOBONI;48451637200014;43.91B;Travaux de couverture par éléments (43.91B);ILE-DE-FRANCE;2019-12-23;2024-12-20;Architecture et Patrimoine Bâti;48.851872, 2.407768
POTERIES GOÏCOECHEA;38772920500014;23.49Z;Fabrication d’autres produits céramiques (23.49Z);NOUVELLE AQUITAINE;2020-02-20;2025-02-17;Arts de la table;46.567138, 3.33175
FROMAGERIE EBRARD;31466134900014;10.51C;Fabrication de fromage (10.51C);PROVENCE-ALPES-COTE D'AZUR;2020-03-16;2025-03-14;Gastronomie;44.643113, 6.113297
PLÂTRERIE ZAMBELLI PATRICK;40315878500010;43.31Z;Travaux de plâtrerie (43.31Z);PROVENCE-ALPES-COTE D'AZUR;2020-07-03;2025-07-01;Architecture et Patrimoine Bâti;48.847666257414296, 2.29792459427983
CHANTIER NAVAL HENAFF;31667220300015;33.15Z;Réparation et maintenance navale (33.15Z);BRETAGNE;2020-07-30;2025-07-28;Loisirs et Transports;47.796369, -4.277383
LUMAFRANCE;45204306000014;46.69A;Commerce de gros (commerce interentreprises) de matériel électrique (46.69A);ILE-DE-FRANCE;2020-07-30;2025-07-28;Ameublement et Décoration;48.532252, 2.684048
BLANC CARRARE;41845642200017;23.70Z;Taille, façonnage et finissage de pierres (23.70Z);GRAND-EST;2021-06-28;2026-06-26;Architecture et Patrimoine Bâti;48.715973, 7.102296
PORCELAINE PIERRE ARQUIÉ;40976011300012;23.41Z;Fabrication d’articles céramiques à usage domestique ou ornemental;NOUVELLE AQUITAINE;2021-07-23;2026-07-21;Ameublement et Décoration;48.85058086756954, -0.8658904887824057
JAMES ÉBÉNISTES;32703657000015;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);NORMANDIE;2021-07-27;2026-07-25;Ameublement et Décoration;48.75138, -1.124951
ART RESTORATION;50083313200029;45.20A;Entretien et réparation de véhicules automobiles légers (45.20A);GRAND-EST;2021-09-09;2026-09-07;Loisirs et Transports;48.557802, 7.653864
PIGMENT GRAFITI;34240246800033;18.13Z;Activités de pré-presse (18.13Z);ILE-DE-FRANCE;2021-09-22;2026-09-20;Equipements Industriels, Médicaux, Mécaniques;48.857513, 2.396245
LA PORCELAINE BLANCHE BLANDECOR (CARPENET);76350038600019;23.41Z;Fabrication d’articles céramiques à usage domestique ou ornemental (23.41Z);NOUVELLE AQUITAINE;2021-09-22;2026-09-20;Arts de la table;45.826608, 1.515968
PHILIPPE TOURNAIRE;39941667600076;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);AUVERGNE-RHÔNE-ALPES;2022-06-29;2027-06-27;Equipements Industriels, Médicaux, Mécaniques;45.609745, 4.097216
D'ARGENTAT;79217303100016;31.09A;Fabrication de sièges d’ameublement d’intérieur (31.09A);NOUVELLE AQUITAINE;2022-10-13;2027-10-11;Ameublement et Décoration;45.157522, 1.968905
STG GARNIER-THIEBAUT;33464222000019;13.20Z;Tissage (13.20Z);GRAND-EST;2022-11-10;2027-11-08;Ameublement et Décoration;48.089932, 6.889445
SOCIETE NOUVELLE VIREBENT;42383561000019;23.41Z;Fabrication d’articles céramiques à usage domestique ou ornemental (23.41Z);OCCITANIE;2022-11-20;2027-11-18;Arts de la table;44.501736, 1.134845
SOC DES ATELIERS LOUIS VUITTON;72206399700174;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie;ILE-DE-FRANCE;2022-12-02;2027-11-30;Mode et beauté;48.858588, 2.342931
LA PENDULERIE;30956637000024;47.77Z;Commerce de détail d’articles d’horlogerie et de bijouterie en magasin spécialisé (47.77Z);ILE-DE-FRANCE;2022-12-02;2027-11-30;Ameublement et Décoration;48.872519, 2.312049
LA MARBRERIE CONTEMPORAINE;53373350700024;25.50B;Découpage, emboutissage (25.50B);ILE-DE-FRANCE;2023-03-28;2028-03-25;Ameublement et Décoration;48.874489, 2.420459
BONNETERIE LE MINOR;32238719200089;14.39Z;Fabrication d'autres articles à mailles;BRETAGNE;2023-04-05;2028-04-02;Mode et beauté;47.80031, -3.478156
ARTHEMA;44178672000074;90.03A;Création artistique relevant des arts plastiques (90.03A);PAYS-DE-LA-LOIRE;2023-06-20;2028-06-17;Ameublement et Décoration;47.163925, -1.563728
PAIN D'EPICES MULOT ET PETITJEAN;01575153000013;10.72Z;Fabrication de biscuits, biscottes et pâtisseries de conservation;BOURGOGNE-FRANCHE-COMTÉ;2023-07-10;2028-07-07;Gastronomie;47.320645, 5.03706
REBOUL S.A.S.;58204581100129;25.92Z;Fabrication d’emballages métalliques légers (25.92Z);AUVERGNE-RHÔNE-ALPES;2023-08-16;2028-08-13;Mode et beauté;43.542839, 2.273903
VIVIAN ET CIE;06380227600038;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment (43.99C);PROVENCE-ALPES-COTE D'AZUR;2023-11-22;2028-11-19;Architecture et Patrimoine Bâti;43.35668148786307, 5.338413343645308
ATELIER STEAVEN RICHARD;53147690100016;25.11Z;Fabrication de structures métalliques et de parties de structures (25.11Z);ILE-DE-FRANCE;2023-12-20;2028-12-17;Ameublement et Décoration;48.862846, 2.373115
MANUFACTURE KERING EYEWEAR;41856565100043;32.50B;Fabrication de lunettes (32.50B);ILE-DE-FRANCE;2023-12-20;2028-12-17;Mode et beauté;48.765759, 2.497918
SOCIETE CHOLETAISE DE FABRICATION;06520042000035;13.99Z;Fabrication d’autres textiles n.c.a. (13.99Z);PAYS-DE-LA-LOIRE;2024-04-19;2029-04-17;Equipements Industriels, Médicaux, Mécaniques;47.254634, -0.874355
FONDERIE D'ART MACHERET;39202796700026;24.54Z;Fonderie d’autres métaux non ferreux (24.54Z);PAYS-DE-LA-LOIRE;2024-04-19;2029-04-17;Ameublement et Décoration;48.035635, 0.409177
JEAN BAPTISTE MARIE  (CHAPUIS);31715729500021;95.24Z;Réparation de meubles et d’équipements du foyer (95.24Z);BRETAGNE;2024-08-21;2029-08-19;Ameublement et Décoration;47.568329, -2.511519
FLS;49107762400022;14.14Z;Fabrication de vêtements de dessous;CENTRE-VAL-DE-LOIRE;2025-02-08;2030-02-06;Mode et beauté;47.976538492645034, 2.699252065430136
SE PIANOS NEBOUT;32372127400013;47.59B;Commerce de détail d'autres équipements du foyer;ILE-DE-FRANCE;2025-03-21;2030-03-19;Culture et Communication;45.665156, -0.349833
PERUKE;52820132000033;90.02Z;Activités de soutien au spectacle vivant;ILE-DE-FRANCE;2025-04-15;2030-04-13;Culture et Communication;48.85075288755985, 2.3870934809979296
DICHAMP SARL;68288076000017;43.34Z;Travaux de peinture et vitrerie;GRAND-EST;2025-05-22;2030-05-20;Architecture et Patrimoine Bâti;48.306428932699, 4.076099984142616
NOVASOIE;95390105500012;13.99Z;Fabrication d'autres textiles n.c.a.;Auvergne-Rhône-Alpes;2025-06-26;2030-06-24;"Fournitures, Équipements et Matériaux;Haute-couture et prêt-à-porter";45.46874591213934, 4.505635756922206
CORINGER;38534814900035;32.12Z;Fabrication d’articles de joaillerie et bijouterie;ILE-DE-FRANCE;2025-06-26;2030-06-24;Mode et beauté;48.8692376997216, 2.334177498518178
BERTHOUD CYCLES;37934764400039;30.92Z;Fabrication de bicyclettes et de véhicules pour invalides;Bourgogne-Franche-Comté;2025-07-18;2030-07-16;Loisirs et Transports;46.44607393731357, 4.87868188387387
AIR ET TOILES CONCEPT;39784535500023;90.02Z;Activités de soutien au spectacle vivant;BRETAGNE;2025-03-24;2030-03-22;Culture et Communication;47.66696786251186, -2.8993686655464863
Adobati Fondeur;81820878700015;24.54Z;Fonderie d’autres métaux non ferreux (24.54Z);AUVERGNE-RHÔNE-ALPES;2019-08-30;2024-08-27;Equipements Industriels, Médicaux, Mécaniques;44.97597920633469, 4.961814277596729
LES MAQUETTISTES RÉUNIS DE SURESNES;32359281600025;63.99Z;Autres services d’information n.c.a. (63.99Z);ILE-DE-FRANCE;2019-12-23;2024-12-20;Equipements Industriels, Médicaux, Mécaniques;48.871746, 2.223865
DROUILLY SARL;44440137600017;23.41Z;Fabrication d’articles céramiques à usage domestique ou ornemental (23.41Z);GRAND-EST;2020-02-20;2025-02-17;Architecture et Patrimoine Bâti;48.294259, 4.517444
SA PRETRE ET FILS;31874678100026;33.20D;Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels;BOURGOGNE-FRANCHE-COMTÉ;2020-02-20;2025-02-17;Architecture et Patrimoine Bâti;47.023793, 4.860447
ARTAMIN' SARL;39540962600011;32.99Z;Autres activités manufacturières n.c.a. (32.99Z);GRAND-EST;2020-03-16;2025-03-14;Mode et beauté;48.080241, 4.92741
ETABLISSEMENT MONER;44779087400013;43.32A;Travaux de menuiserie bois et PVC (43.32A);ILE-DE-FRANCE;2020-07-03;2025-07-01;Architecture et Patrimoine Bâti;48.79546, 2.313045
MANUFACTURE D'ACCORDÉONS MAUGEIN;80093681700017;32.20Z;Fabrication d’instruments de musique (32.20Z);NOUVELLE AQUITAINE;2021-07-23;2026-07-21;Culture et Communication;45.24164009673785, 1.739379476014786
TONNELLERIE DU PAYS D'AUGE;38473151900011;16.24Z;Fabrication d’emballages en bois (16.24Z);NORMANDIE;2021-07-27;2026-07-25;Equipements Industriels, Médicaux, Mécaniques;49.162629, 0.188939
KAPP GRAPHIC;51807890200021;18.12Z;Autre imprimerie (labeur) (18.12Z);NORMANDIE;2021-09-15;2026-09-13;Equipements Industriels, Médicaux, Mécaniques;49.0173, 1.178334
COUTELLERIE NONTRONNAISE;33812135300019;25.71Z;Fabrication de coutellerie (25.71Z);NOUVELLE AQUITAINE;2021-09-22;2026-09-20;Arts de la table;45.528118, 0.661302
FERRONNERIE PICARD DUBOSCQ;51028604000041;25.50A;"Forge, estampage, matriçage ; métallurgie des poudres";NORMANDIE;2021-12-01;2026-11-29;Architecture et Patrimoine Bâti;49.09016629971542, -1.5692287216058258
Atelier Ainciart Bergara;33836393000011;32.99Z;Autres activités manufacturières n.c.a. (32.99Z);NOUVELLE AQUITAINE;2022-02-21;2027-02-19;Ameublement et Décoration;43.367698, -1.440488
ETABLISSEMENTS JC DAVID;43910041300020;10.20Z;Transformation et conservation de poisson, de crustacés et de mollusques (10.20Z);HAUTS-DE-FRANCE;2022-04-06;2027-04-04;Gastronomie;50.72219, 1.594093
SOCIETE DES COUVERTS DE MOUROUX;54205335000071;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);GRAND-EST;2022-04-14;2027-04-12;Equipements Industriels, Médicaux, Mécaniques;48.034727, 5.34895
JULES TOURNIER & FILS;71572008200018;13.20Z;Tissage (13.20Z);OCCITANIE;2022-10-10;2027-10-08;Mode et beauté;43.495076, 2.379691
L'ATELIER PONCE;32770587700022;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);ILE-DE-FRANCE;2022-11-02;2027-10-31;Mode et beauté;48.860811, 2.359151
FY;39272202100020;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);AUVERGNE-RHÔNE-ALPES;2022-12-07;2027-12-05;Equipements Industriels, Médicaux, Mécaniques;45.745967, 4.838175
BACCARAT;76080006000013;23.13Z;Fabrication de verre creux (23.13Z);GRAND-EST;2023-03-03;2028-02-29;Arts de la table;48.448295, 6.742044
ATELIER JOLY;49943828100010;14.31Z;Fabrication d’articles chaussants à mailles (14.31Z);OCCITANIE;2023-03-31;2028-03-28;Mode et beauté;43.622388, 2.321198
VERRERIE DUMAS;38949797500018;23.19Z;Fabrication et façonnage d’autres articles en verre, y compris verre technique (23.19Z);CENTRE-VAL-DE-LOIRE;2023-05-17;2028-05-14;Equipements Industriels, Médicaux, Mécaniques;47.411997, 0.895143
ANIS DE L ABBAYE DE FLAVIGNY TROUBAT;39200651600018;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;BOURGOGNE-FRANCHE-COMTÉ;2023-07-10;2028-07-07;Gastronomie;47.511685, 4.529634
APTUNION INDUSTRIE;80463540700013;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;PROVENCE-ALPES-COTE D'AZUR;2023-11-22;2028-11-19;Gastronomie;43.879886, 5.418066
PASSEMENTERIE VERRIER PARIS;55208377600013;13.96Z;Fabrication d’autres textiles techniques et industriels (13.96Z);ILE-DE-FRANCE;2023-12-20;2028-12-17;Ameublement et Décoration;48.865637, 2.395339
GAZZOLA;41814540500035;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment (43.99C);ILE-DE-FRANCE;2023-12-20;2028-12-17;Architecture et Patrimoine Bâti;48.962279, 2.395958
CHAMPAGNE GOSSET;33568152400039;11.02A;Fabrication de vins effervescents;GRAND-EST;2023-12-29;2028-12-26;Gastronomie;49.037405, 3.964378
DEVEAUX SAS;72578097700015;13.20Z;Tissage (13.20Z);AUVERGNE-RHÔNE-ALPES;2024-01-09;2029-01-06;Equipements Industriels, Médicaux, Mécaniques;46.08493, 4.386943
JEAN ROUSSEAU SAS;48441725800015;15.12Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie;BOURGOGNE-FRANCHE-COMTÉ;2024-01-16;2029-01-13;Mode et beauté;47.269965, 5.923237
ATELIERS J PERZEL;56204109500018;27.40Z;Fabrication d’appareils d’éclairage électrique (27.40Z);ILE-DE-FRANCE;2024-03-18;2029-03-16;Ameublement et Décoration;48.820903, 2.341352
TRICOTS SAINT-JAMES;40575075300023;14.39Z;Fabrication d'autres articles à mailles;NORMANDIE;2024-04-03;2029-04-01;Mode et beauté;48.51991, -1.33671
BERNARD LOISEAU SA;01605002300015;56.10A;Restauration traditionnelle;BOURGOGNE-FRANCHE-COMTÉ;2024-07-15;2029-07-13;Gastronomie;47.2800659370301, 4.232170063137383
DANIEL BERNARD ECAILLISTE CREATEUR;82454056100019;70.10Z;Activités des sièges sociaux;Bourgogne-Franche-Comté;2025-02-21;2030-02-19;Mode et beauté;48.871080137177465, 2.305869326117167
H&H (HAMERS - DIAMPREST);89397961700014;32.12Z;Fabrication d’articles de joaillerie et bijouterie;ILE-DE-FRANCE;2025-03-21;2030-03-19;Mode et beauté;48.874984812386, 2.3404348672938924
ATELIERS J. DE MISSOLZ;80797525500017;43.39Z;Autres travaux de finition;ILE-DE-FRANCE;2025-03-21;2030-03-19;Equipements Industriels, Médicaux, Mécaniques;48.85433864515187, 2.326987302393825
APROTEC;45242822000027;45.32Z;Commerce de détail d'équipements automobiles;Auvergne-Rhône-Alpes;2025-04-21;2030-04-19;Loisirs et Transports;45.13407858904548, 5.696664640060825
POTENCIER BRODERIES;32583389500056;13.99Z;Fabrication d’autres textiles n.c.a. (13.99Z);HAUTS-DE-FRANCE;2025-05-12;2030-05-10;Mode et beauté;43.940725, 2.148916
KORUS PACKAGING;35281941100039;17.21B;Fabrication de cartonnages;Nouvelle-Aquitaine;2025-07-04;2030-07-02;"Fournitures, Équipements et Matériaux;Packaging et PLV";44.869340364095, -0.6599438873609785
TECHNATURE;40326458300010;20.42Z;Fabrication de parfums et de produits pour la toilette;Bretagne;2025-07-04;2030-07-02;Mode et beauté;48.391791333122725, -4.265024889048969
U.N.D.F;39482367800013;25.73B;Fabrication d'autres outillages;Bourgogne-Franche-Comté;2025-07-18;2030-07-16;Equipements Industriels, Médicaux, Mécaniques;47.21766490028713, 6.772430512296093
BOURGUIGNONNE CIRES ET DERIVES;72542121800050;32.99Z;Autres activités manufacturières n.c.a.;Bourgogne-Franche-Comté;2025-07-18;2030-07-16;Ameublement et Décoration;46.794776018465654, 4.826459399230787
MAROQUINERIE BARRETEAU;31989137000029;15.12Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie;PAYS-DE-LA-LOIRE;2025-03-25;2030-03-23;Mode et beauté;46.94139882329998, -1.7336137770117908
Laguiole Arbalète Genes David;53166727700028;25.71Z;Fabrication de coutellerie (25.71Z);AUVERGNE-RHÔNE-ALPES;2019-08-30;2024-08-27;Arts de la table;45.85740792872339, 3.508485067094729
CHANTIER DU GUIP;38080855000038;33.15Z;Réparation et maintenance navale (33.15Z);BRETAGNE;2019-12-23;2024-12-20;Loisirs et Transports;48.380169, -4.487231
