﻿Thématique;Sous-thématique;Nom de l'Enquête;Description rapide;Producteur;Types de données;Maille d'étude;Lien;Niveau géographique;Périodicité;Variables;Types d'accès
Economie;MICE,Restauration,Hébergement;Caractéristiques comptables, financières et d'emploi des entreprises en 2021 (paru en 2023) ESANE;Performance des entreprises du secteur de l’hébergement restauration : notamment le Chiffre d’affaire et la valeur ajoutée;INSEE;Enquête;Individuelle (secteur HCR);https://www.insee.fr/fr/statistiques/7651372?sommaire=7651565;National;Annuelle;"Caractéristiques comptables; financières et d'emploi des entreprise";Open data
Tourisme durable;Energie;Open data ENEDIS;13 jeux de Données en open data fournies par Enedis au sujet du mix de production;ENEDIS;Base de données;;https://data.enedis.fr/pages/accueil/;Communal;Au fil de l'eau;"Projets en développement sorties des demandes évolution ; Projets en développement demandes en cours par tranches de puissance et modalité d'injections - historiques cumulés  ; Projets en développement -maille régionale et départementale - répartition ; Parc de production - Maille régionale et départementale - historique cumulés ; Parc de production - Maille régionale et départementale - répartition ; Projets endéveloppement - demandes en cours et sortie par tranches ..";Open data
Transport;Transport collectif;Transports.data.gouv.fr - transport public collectif;520 jeux de données sur le transport public collectif , horaires théoriques vs temps réel;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets?type=public-transit;Communal;Au fil de l'eau;"Par ville; horaires théoriques et horaires réels des transports en commun";Open data
Transport;PoI,Voiture;Transports.data.gouv.fr - Stations de réapprovisionnement de véhicules;Les 6 jeux de données de cette catégorie décrivent les stations de réapprovisionnement de véhicules : stations essence, GNV ou bornes de recharge électriques.;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets?type=charging-stations;National;Au fil de l'eau;"Infrastructures de Recharge pour Véhicules Électriques - IRVE  ; Prix des carburants et informations Points de vente - Flux temps réel ;  Stations GNV publiques ;Prix des carburants et informations Points de vente - Flux quotidien ; Données IRVE statiques et dynamiques - Chargepoly ; Données IRVE statiques et dynamiques - Gireve";Open data
Economie;International,conjoncture;Organisation Mondiale du Tourisme;Le tableau de bord de l’OMT de données sur le tourisme fournit des statistiques et un éclairage sur les indicateurs clé du tourisme récepteur et émetteur aux échelons mondial, régional et national. Les données couvrent les arrivées de touristes, la part du tourisme dans les exportations et sa contribution au PIB, les marchés émetteurs, la saisonnalité et l’hébergement (données sur le nombre de chambres, les clients et les nuitées).;Organisation Mondiale du Tourisme (OMT);Dashboard;;https://app.dealroom.co/companies?applyDefaultFilters=true;National;Annuelle;"arrivées et recettes des touristes internationaux et recettes d'exportation; Dépenses et départs de touristes internationaux; Saisonnalité; Flux touristiques; Hébergement; PIB et emploi dans le secteur du tourisme; Tourisme intérieur";Open data
Economie;Conjoncture,Immobilier;Observatoire locaux des loyers;Le réseau des Observatoires locaux des loyers (OLL) met à disposition les statistiques des niveaux de loyers du parc locatif privé afin d'offrir une vision fiable des marchés locatifs locaux, notamment via le site Internet : www.observatoires-des-loyers.org développé par l’Agence nationale pour l’information sur le logement (ANIL) avec l’ensemble des observatoires locaux et l’appui du ministère du Logement. Chaque observatoire des loyers collecte les loyers pratiqués sur son territoire et traite les données selon une méthode validée par un comité scientifique composé d’experts indépendants et reconnus. Les résultats sont fiables, homogènes et transparentes.;Résultats nationaux des observatoires locaux des loyers;Base de données;;www.observatoires-des-loyers.org;National;Annuelle;;Open data
Tourisme durable;Vélo,PoI;Vélo et territoire;"Vélo & Territoires est un réseau de collectivités (régions, départements, intercommunalités) mobilisées dans une dynamique collégiale pour construire la France à vélo en 2030. Au cœur de ce cap stratégique : achever les schémas vélo au profit de l’équilibre des territoires ; faire du vélo un outil de mobilité à part entière ; porter la France au premier rang des destinations mondiales du tourisme à vélo ; faire de la France une grande nation cyclable.";Vélo et territoire;Base de données;;https://www.data.gouv.fr/fr/organizations/velo-territoires-2/;National;;;Open data
Transport;Fréquentation,PoI;API Navitia;Navitia.io est une suite d’API open-source, accessible en open-service et basée sur l’open-data, offrant des fonctionnalités avancées dédiées à la mobilité telles que la recherche d’itinéraire multimodale et intermodale, la consultation de l’info trafic, l’affichage des horaires de passage, une autocomplétion performante ainsi que la fonctionnalité isochrone.;Navitia;API;;https://navitia.io/;National;Au fil de l'eau;;Limité
Innovation et numérique;Start-up;PitchBook Data;Données sur les startups (pas spécialement tourisme), les investisseurs, les deals au niveau mondial;PitchBook;Base de données;Individuelle (Startup);https://pitchbook.com/;International;Au fil de l'eau;"Données financières très précises (dette; EBIT;C.A; cash-flows;…); données sur l'industrie;  levées de fonds";Limité
Culture;PoI,Œuvre d'art;Base JOCONDE;Joconde est le catalogue collectif des collections des musées de France, riche de plus de 600.000 notices d’objets de toutes natures (archéologie, beaux-arts, ethnologie…), en majorité illustrées. Les informations sont en ligne sur POP, plateforme ouverte du patrimoine.;Ministère de la Culture;Base de données;;https://www.pop.culture.gouv.fr/search/list?resPage=2&listResPage=2&base=%5B%22Collections%20des%20mus%C3%A9es%20de%20France%20%28Joconde%29%22%5D;National;Au fil de l'eau;"Titre; Denomination; Appellation; Domaine; Description;Titre; Denomination; Appellation; Domaine; Description; Lien_site_associe; Periode_de_creation; Date_d_acquisition; Statut_juridiqueDate_de_depot; Ancien_depot; Localisation; Nom_officiel_musee
Ville; Departement; Region; Ancienne_appartenance;
Ancienne_attribution;Bibliographie;Commentaires;
Exposition;Genese;Inscription;Genre;Numero_inventaire;
Appellation_Musee_de_France;
Date_de_mise_a_jour;
Date_creation;
Precisions_decouverte_collecte
Presence_image;
Lien_Video;
Reference
Code_Museofile
Lien_base_Arcade
References_Memoires
Reference_MAJ
References_Palissy
References_Merimee
Lien_INHA
coordonnees";Open data
Tourisme durable;Randonnée,PoI;IGN RANDO;Avec l'application IGNrando', l'expérience est désormais complète. De la préparation au partage d'expériences en passant par le guidage sur le terrain, vous avez toutes les cartes en main pour profiter de belles randonnées à travers toute la France.;Institut national de l'information géographique et forestière (IGN);;;https://ignrando.fr/fr/;;;;Open data
Tourisme durable;Energie;Open data éléctricité et gaz;46 Jeux de données et data visualisation sur la production, consommation et acteurs de l'énergie , transition énergétique, mécanisme de marché et mobilité;Agence ORE;Base de données;;https://opendata.agenceore.fr/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.energie&disjunctive.maille-geographique&disjunctive.modified&disjunctive.federated&sort=explore.popularity_score;Communal;Au fil de l'eau;"Distributeurs de gaz et d'électricité par communes ; postes source et postes de répartition HTA / HTA ; postes de distribution publique HTA / BT ; Lignes électriques osuterrianes basse tension (BT) ; consommation annuelle d'électricité et de gaz par commune et par secteur d'activité ; lignes électriques aériennes basse tension ; référentiel des distributeurs d'énergie ; consommation annuelle d'électricité et gaz par région et par secteur d'activité ; installations de production de la filière ""Solaire"" par commune ; Consommation annuelle d'électricité et gaz par commune et par code NAF ; lignes électriques souterraines moyenne tension (HTA)  ; lignes éléctriques aériennes moyenne tension (HTA) ; consommation annuelle d'électricité et gaz par IRIS et par code NAF; installations de production de la filière EOlien par commune  ; installations de production d'électricité et de gaz  ; infrastructures de réseau de gaz  ; consommation annuelle d'électricité de de gaz par EPCI et par secteur d'activité ;consommation annuelle d'électricité de de gaz par département et par secteur d'activité ; consommation annuelle d'électricité et gaz par IRIS et par secteur d'activité ; production d'électricité d'origine renouvelable aux enchères des garanties d'origine ; installation de production de la filière hydraulique par commune  ; voitures particulières immatriculées par commune et par type de recharge ; nombre de points d elivraison par distributeur  ; production demi-horaire agrégée par région ; production annuelle de biométhane par site raccordé au réseau de transport et de distribution.";Open data
Economie;Immobilier,Hébergement touristique,Montagne;Parc immobilier touristique des stations de montagne;La méthode CONITIFF® développée par le Cerema et Atout France permet de décrire le parc immobilier touristique à partir des informations foncières et fiscales. A partir des informations contenues dans les fichiers fonciers, les hébergements touristiques sont répartis en 5 catégories (hôtels, centres et villages de vacances, résidences de tourisme, autres copropriétés touristiques et résidences secondaires diffuses) décrits, et localisés à la précision de la parcelle. Les données fournissent une description des hébergements touristiques des communes support de station de montagne (nombre de logements, capacité d’accueil par catégorie, par période de construction, lieu de résidence des propriétaires) sous une forme agrégée par commune.;Centre d'études et d'expertise sur les risques, l'environnement, la mobilité et l'aménagement (CEREMA);Base de données;Communale;https://geo.data.gouv.fr/fr/datasets/bfe84d5506dd5b90f6529aa95815bf1badb63c3c;;Annuelle;"code INSEE de la commune; Nom de la commune; lits  nombre de lits touristiques; nombre de lits en résidence de tourisme; nombre de lits en centre / village de vacances;  nombre de lits en hôtel; nombre de lits des copropriétés touristiques (hors RT); nombre de lits des résidences secondaires diffuses nombre de lits en hôtel classé (source Atout France)  [...]";Open data
Sport & JOP;Loisirs;Indicateurs et analyses 2023;Document de synthèse présentant des indicateurs dans les domaines suivants: social, technique, sécurité, bilan de saison, investissements, charges, prix du forfait;Domaines skiables de France (DSF);Enquête;Individuelle (Secteur Ski);https://www.domaines-skiables.fr/publications/observatoire/;National;Annuelle;"Fréquentation; emplois; recette; dépenses; nombre de nuitées; pays de provenance";Open data
Economie;Hébergement,Conjoncture;Eurostat;Données annuelles sur le secteur du tourisme;Eurostat;Base de données;Régionale;https://ec.europa.eu/eurostat/fr/web/tourism/data/database;UE;Annuelle;"Nuitées passées dans des établissements d'hébergement touristique ventilées par origine du client, type d'établissement,  région,  type de localité, taille de l'établissement; 
Arrivées dans des établissements d'hébergement touristique ventilées par origine du client, type d'établissement, région ; 
Taux d'occupation net des places-lits et des chambres dans les hôtels et hébergements similaires ventilé par taille de l'établissement et région; 
Capacité des établissements d'hébergement touristique (établissements, chambres et places-lits, ventilés par type d'établissement, région, type de localité et taille de l'établissement).
Emploi dans le secteur de l'hébergement (source: enquête sur les forces de travail); ventilé par temps de travail (temps plein/partiel); statut professionnel; âge; niveau d'éducation; sexe; et ancienneté auprès du même employeur (données annuelles et trimestrielles).";Open data
Sport & JOP;PoI;Sites olympiques et paralympiques PARIS 2024;Données géographiques des emplacements des sites olympiques et paralympiques franciliens des JOP PARIS 2024;Région Ile de France;Base de données;Infra-communale;https://data.iledefrance.fr/explore/dataset/paris-2024-sites-olympiques-et-paralympiques-franciliens/table/?basemap=mbs-5ffe02&location=8,48.72608,3.83698;Régional;Ponctuelle;"Geo Point; NOM; SITES OLYMPIQUES PARALYMPIQUES; SPORTS";Open data
Innovation et numérique;Start-up;Etude Banque de France santé des Start ups;Etude annuele sur la santé des start ups tous secteurs;Banque de France;Enquête;;https://data.world/datasets/sports;National;Annuelle;;Open data
Transport;PoI,voiture;Base nationale consolidée des lieux de covoiturage;La première version de la Base nationale des lieux de covoiturage (BNLC) était issue de la base nationale des aires de covoiturage de BlaBlaCar et de la base des aires de covoiturage de la Fabrique des Mobilités. La BNLC est maintenant régulièrement mise à jour par l’équipe du Point d’accès national grâce aux apports des collectivités et de contributeurs (covoitureurs par exemple). Pour y contribuer, vous pouvez utiliser cet outil. Ces données permettent aux développeurs et aux applications de covoiturage de fournir une information fiable sur les points de rencontre (aires de covoiturage, sorties d’autoroutes, parkings, lieux d’autostop…) où les conducteurs peuvent s’arrêter et stationner en toute sécurité.;Ministère de la Transition écologique;Base de données;Individuelle;https://transport.data.gouv.fr/datasets/base-nationale-des-lieux-de-covoiturage/;National;Au fil de l'eau;"""id_lieu""; ""id_local"";
  ""nom_lieu"": ""Route de Saintes"";
  ""ad_lieu"": ""route de Saintes"";
  ""com_lieu"": ""Thénac"";
  ""insee"": ""17444"";
  ""type"": ""Auto-stop"";
  ""date_maj"": ""2020-09-04"";
  ""ouvert"": ""true"";
  ""source"": ""810157982"";
  ""Xlong"": ""-0.6521740"";
  ""Ylat"": ""45.6712240"";";Open data
Tourisme durable;Déchets;SINOE-Déchets;"Le jeu de données ""Tonnage de déchets collectés en déchèterie par type de déchets"" contient, pour les années impaires à partir de 2009, les tonnages de déchets collectés par type de déchets et par département";SINOE;Dashboard;Départementale;https://data.ademe.fr/datasets/tonnage-decheterie-par-type-dechet-par-dept;National;Bisannuelle;"ANNEE;""C_REGION"";""L_REGION"";""C_DEPT"";""N_DEPT"";""C_TYP_REG_DECHET"";""L_TYP_REG_DECHET"";""TONNAGE_T""";Open data
Innovation et numérique;Start-up,Investissements;Capital Finance;Données sur les deals M&A et Private Equity  tous secteurs confondus;Capital Finance;Base de données;Individuelle (Startup);https://capitalfinance.lesechos.fr/;National;Au fil de l'eau;"financement; deals M&A; deals PE; levée de fonds; droit; stratégie";Limité
Sport & JOP;PoI,Loisir,Sport;Données géocodées issues du recensement des licences et clubs auprès des fédérations sportives agréées par le ministère chargé des sports;Le recensement annuel des licences auprès des fédérations sportives agréées par le ministère en charge des sports permet de mesurer le niveau et l’évolution dans le temps de la pratique sportive encadrée. Ces statistiques fournissent un éclairage pour les politiques publiques de développement du sport, tant au niveau national que territorial.;Institut national du sport, de l'expertise et de la performance (INSEP);Base de données;;https://www.data.gouv.fr/fr/datasets/donnees-geocodees-issues-du-recensement-des-licences-et-clubs-aupres-des-federations-sportives-agreees-par-le-ministere-charge-des-sports/;Communal;Au fil de l'eau;"code_commune; libelle; region; fed_2019; nom_fed";Open data
Economie;Conjoncture,Dépense,Consommation;Statista;Etudes et données ad hoc sur le poids du tourisme en France;Statista;Enquête;;https://fr.statista.com/marches/1166/voyages-tourisme-et-hebergement/;National;Annuelle;"Nombre de touristques internationaux ; ventes totales des villages club med ; chiffres d'affaires de l'hébergement touristique et de l'hébergement en France";Limité
Sport & JOP;Loisir,Sport;Optimouv;"Le logiciel Optimouv propose des solutions d’organisations des compétitions par des choix du lieu de rencontres optimisés au regard des déplacements tout en tenant compte des contraintes sportives. Cet outil informatique est un outil d’aide à la décision à disposition de l’ensemble des instances sportives organisant les compétitions et les rassemblements, les fédérations, les ligues régionales, les comités départementaux notamment.
La Fédération Française de Basketball (FFBB) et le Ministère chargé des sports, en partenariat avec l’ADEME et le WWF, ont collaboré à l’étude et au développement de cet outil.";"Minitère des sports et JOP; Agence de l'environnement et de la maîtrise de l'énergie (ADEME); World Wide Fund for Nature (WWF); Fédération Française de basket-ball (FFBB)";Applicatif;;https://www.optimouv.net/;National;;;Open data
Economie;Label,Communes et stations touristiques;Communes et stations touristiques;Base de données recensant l'ensemble des communes et stations classées tourisme en France. On compte plus de 500 Stations classées touristiques et près de 1200 communes touristiques.;"Direction générale des Entreprises (DGE); Institut national de l'information géographique et forestière (IGN)";Base de données;Communale;https://www.communes-touristiques.net/anett/presentation/membres/;National;Au fil de l'eau;"commune; departement; region; espace gégraphique (littoral; Intérieur; montagne; thermale); label et classement";Open data
Transport;Fréquentation;Flux Vision: Offre Transport;Ces indicateurs indiquent les flux domicile-travail et la récurrence des voyages. En particulier, ils sont à destination des acteurs des transport afin d'adapter l'offre de transport aux déplacements des voyageurs.;Orange;Indicateurs;;https://www.orange-business.com/fr/solutions/data-intelligence-iot/flux-vision;Communal;Quotidienne;"Matrice origine – destination par jour; Matrice origine – destination par 30 min; Flux domicile travail; Récurrence des voyages";Limité
Alimentation & Gastronomie;PoI,Label,Environnement;Label Haute valeur environnementale (HVE);La Haute Valeur Environnementale (HVE) correspond au 3e niveau, le plus élevé, de la certification environnementale des exploitations agricoles. Depuis février 2012, date de mise en œuvre du dispositif, le nombre d'exploitations certifiées augmente chaque année. Plus de 37 000 exploitations (37 357 exploitations précisément – chiffre en date du 1er juillet 2023) peuvent se revendiquer être « Haute Valeur Environnementale », preuve de leur engagement dans des pratiques respectueuses de l'environnement et de la biodiversité.;Ministère de l'Agriculture et de l'Alimentation;Base de données;Individuelle (exploitation agricole);https://www.data.gouv.fr/fr/datasets/annuaire-des-exploitations-de-haute-valeur-environnementale/;National;Au fil de l'eau;"Nom ou Raison sociale; Adresse; Code Postal; Région; Département; Commune; Site internet ; Activité principale (secteur animal): 'Apiculteur'; 'Autres'; 'Bovins lait'; 'Bovins viande'; 'Caprins'; 'Equidés'; 'Œufs'; 'Ovins'; 'Porcins'; 'Volailles'; Activité principale (secteur végétal) : 'Arboriculture'; 'Autres cultures'; 'Grandes cultures'; 'Horticulture'; 'Maraichage'; 'Viticulture'; Vente directe (texte); valeur : 'OUI'; 'NON'; (vide)
Date de certification (date (JJ/MM/AAAA))";Open data
Innovation et numérique;Start-up;DealRoom;Données sur les start-ups tous secteurs confondus, national, international;DealRoom;Base de données;;https://app.dealroom.co/companies?applyDefaultFilters=true;National;Mensuelle;"Fonds levés; nombre d'emplois; technologie; investisseurs; modèles d'affaires; C.A";Limité
Transport;Fréquentation,PoI;Observatoire national du covoiturage au quotidien;Ce dashboard indique l'impact environnemental des trajets en termes d'économies de CO2 et de pétrole;Ministère de la Transition écologique;Dashboard;Individuelle;http://observatoire.covoiturage.beta.gouv.fr/dashboard;National;Mensuelle;"tonnes de CO2 économisés; litres de pétrole économisés";Open data
Sport & JOP;Sport,Loisirs,International;Saison touristique d’hiver 2023;Données sur la fréquentation et les performances du secteur touristique d'hiver;INSEE;Enquête;;https://www.insee.fr/fr/statistiques/7613773#graphique-figure4;National;Ponctuelle;Indice des prix à la consommation, indice de chiffre d'affaires;Open data
