DocId;Nom du professionnel;Partenaires;Activité du professionnel;Ville;Code postal du professionnel;Site Web;Adresse;Téléphone;Email de l'établissement;questionnaire_de_satisfaction;coordonnees_geographiques;region;departement
108493;Office de Tourisme de la Ténarèze;RT OT - CDT Destination GERS|ADN Tourisme|RT OT - CRT Occitanie|DGE Occitanie;Office de tourisme;CONDOM;32100;https://www.tourisme-condom.com;5 Place Saint Pierre;05.62.28.00.80;contact@tourisme-condom.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=108493;43.957546, 0.372751;Occitanie;Gers
108879;YELLOH VILLAGE LE FAYOLAN;DGE Bourgogne Franche-Comté|Yelloh Village;Camping;CLAIRVAUX-LES-LACS;39130;http://www.yellohvillage.fr/camping/le_fayolan;Chemin du Langard BP52;03 84 25 88 52;info@yellohvillage-fayolan.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=108879;46.568732, 5.755146;Bourgogne-Franche-Comté;Jura
109547;MUSEE DE L'HORLOGERIE;NORMANDIE QUALITE TOURISME|DGE Normandie|CCI Rouen Métropole;Lieu de visite;SAINT-NICOLAS-D'ALIERMONT;76510;http://www.musee-horlogerie-aliermont.fr;48 rue Edouard Cannevel;02 35 04 53 98;kevin.kennel@mairie-sna.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=109547;49.879641, 1.219788;Normandie;Seine-Maritime
84560;Office de Tourisme De Concarneau à Pont-Aven;RT OT - Offices De Tourisme De Bretagne|DGE Bretagne|ADN Tourisme;Office de tourisme;CONCARNEAU;29900;http://www.deconcarneauapontaven.com;Quai D'Aiguillon;02.98.97.01.44;contact@deconcarneauapontaven.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=84560;47.873302, -3.9176;Bretagne;Finistère
84677;Office De Tourisme Epinal et Sa Région;DGE Grand-Est|ADN Tourisme|Partenaire - DIRECCTE Grand Est;Office de tourisme;EPINAL;88000;http://www.tourisme-epinal.com;6 Place Saint-Goery;03.29.82.53.32;office.tourisme@epinal.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=84677;48.174042, 6.450199;Grand Est;Vosges
;Office De Tourisme Montfort Communauté;RT OT - Offices De Tourisme De Bretagne|DGE Bretagne|ADN Tourisme;Office de tourisme;IFFENDIC;35750;http://www.lacdetremelin.com;Trémelin, 6;02.99.09.06.50;tourisme@lacdetremelin.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt100290;48.100102, -2.032924;Bretagne;Ille-et-Vilaine
;Destination Anjou Vignoble et Villages;RT OT - FROTSI des Pays de la Loire|ADN Tourisme|DGE Pays de la Loire;Office de tourisme;CHALONNES-SUR-LOIRE;49290;https://anjou-vignoble-villages.com;Place De L'Hôtel De Ville;02.41.78.26.21;accueil@anjou-vignoble-villages.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt123667;47.351565, -0.763201;Pays de la Loire;Maine-et-Loire
;Auberge des Ecrins;DGE Provence-Alpes-Côte d'Azur|Bistrot de Pays;Café, bar, brasserie;CHAMPOLEON;05260;https://www.bistrotdepays.com/auberge-des-ecrins;Les Borels;+33(0)4 92 51 76 89;aubergedesecrins@gmail.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt125874;44.719811, 6.260128;Provence-Alpes-Côte d'Azur;Hautes-Alpes
;Office de Tourisme Intercommunal des Causses et Gorges de l'aveyron;ADN Tourisme|RT OT - CRT Occitanie|RT OT - ADT Tarn et Garonne|DGE Occitanie;Office de tourisme;SAINT-ANTONIN-NOBLE-VAL;82140;https://causses-gorgesaveyron.com/;10 rue de la pélisserie;0563306347;tourisme@cc-qrga.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt127696;44.152372, 1.756667;Occitanie;Tarn-et-Garonne
;Commune de SOORTS-HOSSEGOR (Gravière);DGE Nouvelle-Aquitaine|Landes Attractivité;Lieu de visite;SOORTS-HOSSEGOR;40150;http://www.soorts-hossegor.fr/;18, Avenue de Paris;05 58 41 79 10;accueil-mairie@hossegor.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt129126;43.659037, -1.427356;Nouvelle-Aquitaine;Landes
;Commune de VIEUX-BOUCAU (Nord);DGE Nouvelle-Aquitaine|Landes Attractivité;Lieu de visite;VIEUX-BOUCAU-LES-BAINS;40480;https://www.vieuxboucau.fr/;1, Place de la Mairie BP 15;05 58 48 13 22;mairie@vieuxboucau.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt129672;43.785874, -1.400936;Nouvelle-Aquitaine;Landes
;Commune de CAPBRETON (Santocha/Prévent);DGE Nouvelle-Aquitaine|Landes Attractivité;Lieu de visite;CAPBRETON;40130;http://www.capbreton.fr/;Place Saint Nicolas BP 25;0558721009;secretariat-general@capbreton.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt129886;;;
;Commune de SOORTS-HOSSEGOR (Chênes-Liège);DGE Nouvelle-Aquitaine|Landes Attractivité;Lieu de visite;SOORTS-HOSSEGOR;40150;http://www.soorts-hossegor.fr/;18, Avenue de Paris;05 58 41 79 10;accueil-mairie@hossegor.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt129923;43.659037, -1.427356;Nouvelle-Aquitaine;Landes
;BAGATELLE;CCI Var|DGE Provence-Alpes-Côte d'Azur|Engagement Qualité PACA;Restaurant de plage;RAMATUELLE;83350;https://bagatelle.com/venues/st-tropez;Bagatelle chez stefano Route de Matarane - Les Tamaris;04 94 79 83 25;st.tropez@bagatelle.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt133826;;;
;AMBASSADOR;CSNERT|DGE Ile-de-France;VTC - Limousine;LEVALLOIS-PERRET;92300;http://www.ambassador.fr;97, Rue Edouard Vaillant;0147371818;ambassador@ambassador.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt138849;48.897769, 2.287486;Île-de-France;Hauts-de-Seine
;L'arbre à chapeaux;DGE Bourgogne Franche-Comté|Bourgogne-Franche-Comté Tourisme;Chambre d'hôtes;GRAND'COMBE-CHATELEU;25570;https://www.larbre-a-chapeaux.com/;18, Les Bois du Fourg;03 81 68 19 11;isabelle@larbre-a-chapeaux.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt139483;47.034122, 6.569999;Bourgogne-Franche-Comté;Doubs
;Le 69 La Pizzeria au Bout du Monde;DGE Provence-Alpes-Côte d'Azur|Bistrot de Pays;Café, bar, brasserie;LE SAIX;05400;https://www.facebook.com/le69auboutdumonde;Le Village;04 92 65 05 50;69auboutdumondepizz@gmail.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt141582;44.49617, 5.847425;Provence-Alpes-Côte d'Azur;Hautes-Alpes
;Office De Tourisme de la Vallée d'Ossau - BIT DE GOURETTE;DGE Nouvelle-Aquitaine|ADN Tourisme|AaDT Béarn Pays basque|RT OT - MONA;Office de tourisme;EAUX-BONNES;64440;http://www.gourette.com;Avenue Castellane;05 59 05 33 08;info@gourette.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt158214;42.972997, -0.393488;Nouvelle-Aquitaine;Pyrénées-Atlantiques
;OT Rochefort Océan - BIT Ile d'Aix;DGE Nouvelle-Aquitaine|ADN Tourisme|Charentes Tourisme;Office de tourisme;ILE-D'AIX;17123;https://www.rochefort-ocean.com;Rue Gourgaud;0546990860;contact@rochefort-ocean.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt158215;46.011805, -1.174052;Nouvelle-Aquitaine;Charente-Maritime
;Office De Tourisme Communautaire D'Aire Sur L'Adour - BIT d'Eugénie-les-Bains;DGE Nouvelle-Aquitaine|Landes Attractivité|ADN Tourisme|RT OT - MONA;Office de tourisme;EUGENIE-LES-BAINS;40320;http://www.tourisme-aire-eugenie.fr;Place Gaston Larrieu;0558716470;accueil@tourisme-aire-eugenie.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt158391;43.690575, -0.388714;Nouvelle-Aquitaine;Landes
;Office De Tourisme Côte Landes Nature - BIT de Léon;DGE Nouvelle-Aquitaine|Landes Attractivité|ADN Tourisme|RT OT - MONA;Office de tourisme;LEON;40550;https://www.cotelandesnaturetourisme.com;65 Place Jean-Baptiste Courtiau;05 58 48 63 36;contact@cotelandesnaturetourisme.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt158392;43.874784, -1.301185;Nouvelle-Aquitaine;Landes
;Office De Tourisme De Haute Maurienne Vanoise - BIT Valfréjus;RT OT - OT73SMB|DGE Auvergne Rhone-Alpes|ADN Tourisme;Office de tourisme;MODANE;73500;https://www.haute-maurienne-vanoise.com/hiver/valfrejus/;Rue des Bettets Valfréjus;04 79 05 33 83;valfrejus@hautemaurienne.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt158781;45.173669, 6.65366;Auvergne-Rhône-Alpes;Savoie
113073;CHATEAU DE CREMAT;CCI Nice Côte d'Azur|DGE Provence-Alpes-Côte d'Azur|Engagement Qualité PACA;Visite d'entreprise;NICE;06200;http://www.chateau-cremat.fr;442 Chemin de Crémat;0648284189;marie.gammard@chateaucremat.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=113073;43.723848, 7.208738;Provence-Alpes-Côte d'Azur;Alpes-Maritimes
113137;Forteresse de Mimoyecques;DMPA|DGE  Hauts de France|CRT Hauts de France;Site de mémoire;LANDRETHUN-LE-NORD;62250;http://www.mimoyecques.com;D 29;03 21 87 10 34;mimoyecques@terredes2caps.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=113137;50.842617, 1.778663;Hauts-de-France;Pas-de-Calais
113321;BRIT HOTEL MAGDALENA;BRIT HOTEL|DGE Bourgogne Franche-Comté;Hôtel;VARENNES-VAUZELLES;58640;http://hotel-nevers-magdalena.brithotel.fr//;1 rue Paul Eluard;03 86 57 21 41;magdalena@brithotel.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=113321;47.009108, 3.152703;Bourgogne-Franche-Comté;Nièvre
113506;Office De Tourisme Du Montbardois;DGE Bourgogne Franche-Comté|ADN Tourisme|RT OT - MASCOT;Office de tourisme;MONTBARD;21500;http://www.ot-montbard.fr;Place Henri Vincenot;03.80.92.53.81;ot.montbard@gmail.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=113506;47.617971, 4.343342;Bourgogne-Franche-Comté;Côte-d'Or
113624;MUSEE D'HISTOIRE DE LA VIE QUOTIDIENNE;NORMANDIE QUALITE TOURISME|DGE Normandie|CCI Rouen Métropole;Lieu de visite;SAINT-MARTIN-EN-CAMPAGNE;76370;http://www.museehistoireviequotidienne.fr;3 Rue de l'Ancienne Foire;02 35 86 31 61;mhvq@mairie-petit-caux.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=113624;49.956993, 1.222634;Normandie;Seine-Maritime
113758;Sarl Isalain - La Vieille Bastide;CCI Var|DGE Provence-Alpes-Côte d'Azur|Engagement Qualité PACA;Chambre d'hôtes;FLAYOSC;83780;http://lavieillebastide.fr;306 Route du Peyron, La Vieille Bastide La Vieille Bastide;0498106262;contact@lavieillebastide.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=113758;43.536758, 6.392795;Provence-Alpes-Côte d'Azur;Var
113818;Lost Surf School;DGE Nouvelle-Aquitaine|Landes Attractivité;Sport de nature;SEIGNOSSE;40510;http://www.ecole-surf-seignosse.fr/;Plage Nord du Penon PH67+RW Seignosse;0633956540;contact@lostsurfschool.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=113818;43.71092, -1.429647;Nouvelle-Aquitaine;Landes
113844;Le Channel;CCI Caen Normandie|NORMANDIE QUALITE TOURISME|DGE Normandie;Restaurant;OUISTREHAM;14150;https://www.restolechannel.com/;79 Avenue Michel Cabieu;02 31 96 51 69;restolechannel@gmail.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=113844;49.278806, -0.251583;Normandie;Calvados
113905;La Maison du Parc;DGE Bourgogne Franche-Comté|Nièvre Tourisme|Bourgogne-Franche-Comté Tourisme;Lieu de visite;SAINT-BRISSON;58230;http://www.parcdumorvan.org;Maison du Parc;0386787900;contact@parcdumorvan.org;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=113905;;;
113924;Hôtel du Port;DGE Bretagne|CRT Bretagne;Hôtel;PLOBANNALEC-LESCONIL;29740;http://www.hotel-du-port.fr/;4 rue du port;02 98 87 81 07;contact@hotelduportlesconil.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=113924;47.797681, -4.215047;Bretagne;Finistère
114405;Surfing Locquirec;DGE Bretagne|CRT Bretagne;Sport de nature;LOCQUIREC;29241;http://surfing-locquirec.com/;79 Route de Morlaix Plage du Moulin de la Rive;06 27 06 48 87;surfing.locquirec@gmail.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=114405;48.686359, -3.676392;Bretagne;Finistère
114493;Musée du Textile et de la Mode;DGE Pays de la Loire|ADT Anjou;Lieu de visite;CHOLET;49280;https://museedutextile.com/;Rue du Docteur Roux;07 72 77 22 50;museetextile@choletagglomeration.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=114493;;;
108625;La Maison du Marais;DGE  Hauts de France|CRT Hauts de France;Lieu de visite;SAINT-MARTIN-AU-LAERT;62500;http://www.lamaisondumarais.com;36 Avenue Joffre;03 21 11 96 10;secretariat@tourisme-saintomer.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=108625;50.754695, 2.242023;Hauts-de-France;Pas-de-Calais
108635;Le jardin des lianes;DGE  Hauts de France|CRT Hauts de France;Lieu de visite;CHERIENNES;62140;http://www.jardindeslianes.fr;8 rue des Capucins;03 21 81 68 22;guy.lebel@wanadoo.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=108635;50.312193, 2.037479;Hauts-de-France;Pas-de-Calais
75250;Camping Ker-Helen;Camping Qualité|DGE Nouvelle-Aquitaine;Camping;LE TEICH;33470;http://www.kerhelen.com;Avenue de la Côte d'Argent;05 56 66 03 79;camping.kerhelen@wanadoo.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=75250;44.633707, -1.020605;Nouvelle-Aquitaine;Gironde
93691;SANCTUAIRE NOTRE DAME DE GRACES;DGE Provence-Alpes-Côte d'Azur|Engagement Qualité PACA|ADT Var;Lieu de visite;COTIGNAC;83570;http://www.nd-de-graces.com;Sanctuaire Notre Dame de Graces;04 94 69 64 92;sanctuaire@nd-de-graces.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=93691;43.522074, 6.148638;Provence-Alpes-Côte d'Azur;Var
75522;Camping Cros de Mouton;Camping Qualité|DGE Provence-Alpes-Côte d'Azur;Camping;CAVALAIRE-SUR-MER;83240;http://www.crosdemouton.com;Chemin du Cros de Mouton;04 94 64 10 87;directioncdm83@gmail.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=75522;43.181693, 6.51477;Provence-Alpes-Côte d'Azur;Var
75762;Camping Le Pansard;Camping Qualité|DGE Provence-Alpes-Côte d'Azur;Camping;LA LONDE-LES-MAURES;83250;http://www.camping-pansard.com;Chemin des Moulières;04 94 66 83 22;pansardcamping@gmail.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=75762;43.119682, 6.236007;Provence-Alpes-Côte d'Azur;Var
75767;Camping Le Tindio;Camping Qualité|DGE Bretagne;Camping;ARZON;56640;http://www.camping-golfedumorbihan.com;2 rue du Bilouris Kerners;02 97 53 75 59;letindio@arzon.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=75767;47.55331, -2.88317;Bretagne;Morbihan
76182;Musée Mémorial de la Bataille de Normandie;DMPA|CCI Caen Normandie|NORMANDIE QUALITE TOURISME|DGE Normandie;Site de mémoire;BAYEUX;14400;https://www.bayeuxmuseum.com/musee_memorial_bataille_de_normandie.html;Boulevard Fabian Ware;02 31 51 46 90;bataillenormandie@mairie-bayeux.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=76182;49.273655, -0.713032;Normandie;Calvados
76239;Hôtel Spa du Béryl;CCI Ouest Normandie Délégation Orne|NORMANDIE QUALITE TOURISME|DGE Normandie;Hôtel-restaurant;BAGNOLES-DE-L'ORNE;61140;https://www.hotel-bagnoles.com;1 rue des Casinos;02 33 38 44 44;reservation@hotel-bagnoles.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=76239;48.557143, -0.414039;Normandie;Orne
76275;Hôtel & Spa - Restaurant Riva Bella Thalazur;CCI Caen Normandie|NORMANDIE QUALITE TOURISME|DGE Normandie;Hôtel-restaurant;OUISTREHAM;14150;https://www.thalazur.fr/ouistreham/hotel/;Avenue du Commandant Kieffer;02 31 96 40 40;ouistreham@thalazur.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=76275;49.289448, -0.262601;Normandie;Calvados
108654;La Vigie;DGE Nouvelle-Aquitaine|Landes Attractivité;Sport de nature;BISCARROSSE;40600;http://www.la-vigie-biscarrosse.com/;La Vigie - Maison du Surf 788 Boulevard Des Sables;05 58 78 37 79;lavigie-surf40@wanadoo.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=108654;44.448423, -1.25407;Nouvelle-Aquitaine;Landes
76494;AUBERGE COL DE BROUIS;CCI Nice Côte d'Azur|DGE Provence-Alpes-Côte d'Azur|Engagement Qualité PACA;Chambre d'hôtes;BREIL-SUR-ROYA;06540;http://www.coldebrouis.com;1751, Route du Col de Brouis;04 93 55 30 88;info@coldebrouis.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=76494;43.945329, 7.510576;Provence-Alpes-Côte d'Azur;Alpes-Maritimes
76846;CAP 19 - PEARL BEACH;CCI Var|DGE Provence-Alpes-Côte d'Azur|Engagement Qualité PACA;Restaurant de plage;SAINT-TROPEZ;83990;http://www.thepearlbeach.com;Lieu Dit La Bouillabaisse;04 94 79 89 11;contact@thepearlbeach.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=76846;43.263992, 6.625154;Provence-Alpes-Côte d'Azur;Var
108692;CREPERIE SAINT YVES;DGE Bretagne|CRT Bretagne;Restaurant;GUINGAMP;22200;http://www.creperie-saint-yves.fr;27 RUE SAINT YVES;0296443118;causy@orange.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=108692;48.5627, -3.15461;Bretagne;Côtes-d'Armor
88521;Musée AIRBORNE;CCI Ouest Normandie|DMPA|NORMANDIE QUALITE TOURISME|DGE Normandie;Site de mémoire;SAINTE-MERE-EGLISE;50480;http://airborne-museum.org;14 rue Eisenhower;02 33 41 41 35;infos@airborne-museum.org;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=88521;49.40847, -1.315328;Normandie;Manche
86763;Office De Tourisme De Benodet;RT OT - Offices De Tourisme De Bretagne|DGE Bretagne|ADN Tourisme;Office de tourisme;BENODET;29950;http://www.benodet.fr;29 Avenue de La Mer;02.98.57.00.14;direction.tourisme@benodet.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=86763;47.87705, -4.107004;Bretagne;Finistère
86776;Office De Tourisme De Luxeuil Les Bains Vosges Du Sud;DGE Bourgogne Franche-Comté|ADN Tourisme|RT OT - MASCOT;Office de tourisme;LUXEUIL-LES-BAINS;70300;http://www.luxeuil-vosges-sud.fr;30 Rue Victor Genoux;03.84.40.06.41;tourisme@luxeuil-vosges-sud.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=86776;47.817583, 6.380354;Bourgogne-Franche-Comté;Haute-Saône
86782;Office De Tourisme De Saint Gervais Les Bains;RT OT - INNOVATION & DEVELOPPEMENT TOURISME 74|DGE Auvergne Rhone-Alpes|ADN Tourisme;Office de tourisme;SAINT-GERVAIS-LES-BAINS;74190;http://www.saintgervais.com;43 Rue Du Mont Blanc;04.50.47.76.08;tourisme@saintgervais.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=86782;;;
86918;Office De Tourisme De Dieppe Maritime;RT OT - FROTSI NORMANDIE|DGE Normandie|ADN Tourisme;Office de tourisme;DIEPPE;76200;http://www.dieppetourisme.com;Quai Du Carenage Pont Jehan Ango;02.32.14.40.60;contact@dieppetourisme.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=86918;49.926813, 1.082735;Normandie;Seine-Maritime
;LA CITE DE LA RAVIOLE;CCI Drome|CCI Auvergne-Rhône-Alpes|DGE Auvergne Rhone-Alpes;Lieu de visite;ROMANS-SUR-ISERE;26100;https://www.raviolesmeremaury.com/cite-de-la-raviole;33 Boulevard Gabriel Péri;04 75 70 03 59;contact@citedelaraviole.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt159429;45.048366, 5.050579;Auvergne-Rhône-Alpes;Drôme
;Office De Tourisme Grand Chambéry Alpes Tourisme - BIT Le Châtelard;RT OT - OT73SMB|DGE Auvergne Rhone-Alpes|ADN Tourisme;Office de tourisme;LE CHATELARD;73630;http://www.chambery-tourisme.com;Avenue Denis Therme Le Châtelard;0479548428;administration@grandchamberyalpes-tourisme.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt159840;45.6885, 6.133532;Auvergne-Rhône-Alpes;Savoie
;Office De Tourisme Grand Chambéry Alpes Tourisme - BIT Le Revard;RT OT - OT73SMB|DGE Auvergne Rhone-Alpes|ADN Tourisme;Office de tourisme;AIX-LES-BAINS;73100;http://www.chambery-tourisme.com;Le Revard;0479258049;accueil.savoiegrandrevard@grandchamberyalpes-tourisme.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt159841;45.68787, 5.924189;Auvergne-Rhône-Alpes;Savoie
;Courchevel Tourisme - BIT Courchevel La Tania;RT OT - OT73SMB|DGE Auvergne Rhone-Alpes|ADN Tourisme;Office de tourisme;SAINT-BON-TARENTAISE;73120;https://www.courchevel.com/fr;Esplanade des Tornets La Tania;0479088039;otlatania@courchevel.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt160418;45.432307, 6.608142;Auvergne-Rhône-Alpes;Savoie
;Office De Tourisme De Valmorel Et Des Vallées D'Aigueblanche - BIT Doucy Station;RT OT - OT73SMB|DGE Auvergne Rhone-Alpes|ADN Tourisme;Office de tourisme;LA LECHERE;73260;http://www.valmorel.com;Doucy Station;04 79 08 85 55;info@valmorel.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt160701;45.503507, 6.462426;Auvergne-Rhône-Alpes;Savoie
;L'Esquiro;DGE Nouvelle-Aquitaine|Direction Générale des Entreprises|Landes Attractivité;Sport de nature;SEIGNOSSE;40510;https://www.lesquiro-seignosse.fr/;49 Avenue du Penon;06 82 15 74 40;Lesquiro40510@orange.fr;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt165171;43.690365, -1.435513;Nouvelle-Aquitaine;Landes
;AQUARIUM DES TROPIQUES;CCI Drome|CCI Auvergne-Rhône-Alpes|DGE Auvergne Rhone-Alpes;Lieu de visite;ALLEX;26400;http://www.aquarium-des-tropiques.com;23 route de Crest;04 75 62 62 11;contact@aquarium-des-tropiques.com;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt167047;44.76225, 4.921088;Auvergne-Rhône-Alpes;Drôme
;Hôtel Simon;CCI Martinique Délégation Martinique 2|CCI Martinique Délégation Martinique 1|CCI Martinique|DGE Martinique;Hôtel-restaurant;FORT-DE-FRANCE;97234;http://www.hotel-simon.com/;1 Avenue Loulou Boislaville;05 96 50 22 22;BOOKING@HOTEL-SIMON.COM;https://marques-tourisme.entreprises.gouv.fr/public/surveys/view?id=qt167639;;;
